Log file created at: 2019/01/07 17:55:50
Running on machine: A01-R06-I7-231-J33GRGY
Binary: Built with gc go1.11.1 for linux/amd64
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0107 17:55:50.797753    9981 init.go:88] 

Dgraph version   : v1.0.11
Commit SHA-1     : b2a09c5b
Commit timestamp : 2018-12-17 09:50:56 -0800
Branch           : HEAD
Go version       : go1.11.1

For Dgraph official documentation, visit https://docs.dgraph.io.
For discussions about Dgraph     , visit https://discuss.dgraph.io.
To say hi to the community       , visit https://dgraph.slack.com.

Licensed variously under the Apache Public License 2.0 and Dgraph Community License.
Copyright 2015-2018 Dgraph Labs, Inc.


I0108 06:35:20.149044    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 06:37:06.055088    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:37:06.665140    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 06:40:56.287715    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:40:57.096186    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 06:49:45.287853    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:49:45.558636    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 06:56:09.287644    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:56:09.306736    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 06:56:45.840956    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:56:45.944095    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 07:00:55.287666    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 07:00:55.707535    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 07:02:50.841191    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 07:02:50.916700    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 07:05:55.287638    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 07:05:55.378073    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 07:06:25.287631    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 07:06:25.337567    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 07:08:46.055041    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 07:08:46.165476    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 07:27:50.841158    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 07:27:51.126901    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 07:29:36.055118    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
